keyPressed,wordSaid,timeStamp
None,one,180100
None,one,180200
None,one,180300
None,one,180400
None,one,180500
None,two,180600
None,two,180700
None,two,180800
None,two,180900
None,two,181000
None,two,181100
None,two,181200
None,two,181300
None,two,181400
None,two,181500
None,one,181600
None,one,181700
None,one,181800
None,one,181900
None,one,182000
None,one,182100
None,one,182200
None,one,182300
None,one,182400
None,one,182500
None,two,182600
None,two,182700
None,two,182800
None,two,182900
None,two,183000
None,two,183100
None,two,183200
None,two,183300
None,two,183400
None,two,183500
None,two,183600
None,one,183700
None,one,183800
None,one,183900
None,one,184000
None,one,184100
None,one,184200
None,one,184300
None,one,184400
None,one,184500
None,one,184600
None,two,184700
None,two,184800
None,two,184900
None,two,185000
None,two,185100
None,two,185200
None,two,185300
None,two,185400
None,two,185500
None,two,185600
None,one,185700
None,one,185800
None,one,185900
None,one,186000
None,one,186100
None,one,186200
None,one,186300
None,one,186400
None,one,186500
None,one,186600
None,two,186700
None,two,186800
None,two,186900
None,two,187000
None,two,187100
None,two,187200
None,two,187300
None,two,187400
None,two,187500
None,two,187600
None,one,187700
None,one,187800
None,one,187900
None,one,188000
None,one,188100
None,one,188200
None,one,188300
None,one,188400
None,one,188500
None,one,188600
None,two,188700
None,two,188800
None,two,188900
None,two,189000
None,two,189100
None,two,189200
None,two,189300
None,two,189400
None,two,189500
None,two,189600
None,one,189700
None,one,189800
None,one,189900
None,one,190000
None,one,190100
None,one,190200
None,one,190300
None,one,190400
None,one,190500
None,one,190600
None,one,190700
None,two,190800
None,two,190900
None,two,191000
None,two,191100
None,two,191200
None,two,191300
None,two,191400
None,two,191500
None,two,191600
None,two,191700
None,one,191800
None,one,191900
None,one,192000
None,one,192100
None,one,192200
None,one,192300
None,one,192400
None,one,192500
None,one,192600
None,one,192700
None,two,192800
None,two,192900
None,two,193000
None,two,193100
None,two,193200
None,two,193300
None,two,193400
None,two,193500
None,two,193600
None,two,193700
None,one,193800
None,one,193900
None,one,194000
None,one,194100
None,one,194200
None,one,194300
None,one,194400
None,one,194500
None,one,194600
None,one,194700
None,two,194800
None,two,194900
None,two,195000
None,two,195100
None,two,195200
None,two,195300
None,two,195400
None,two,195500
None,two,195600
None,two,195700
None,two,195800
None,one,195900
None,one,196000
None,one,196100
None,one,196200
None,one,196300
None,one,196400
None,one,196500
None,one,196600
None,one,196700
None,one,196800
None,two,196900
None,two,197000
None,two,197100
None,two,197200
None,two,197300
None,two,197400
None,two,197500
None,two,197600
None,two,197700
None,two,197800
None,one,197900
None,one,198000
None,one,198100
None,one,198200
None,one,198300
None,one,198400
None,one,198500
None,one,198600
None,one,198700
None,one,198800
None,two,198900
None,two,199000
None,two,199100
None,two,199200
None,two,199300
None,two,199400
None,two,199500
None,two,199600
None,two,199700
None,two,199800
None,two,199900
None,one,200000
None,one,200100
None,one,200200
None,one,200300
None,one,200400
None,one,200500
None,one,200600
None,one,200700
None,one,200800
None,one,200900
None,two,201000
None,two,201100
None,two,201200
None,two,201300
None,two,201400
None,two,201500
None,two,201600
None,two,201700
None,two,201800
None,two,201900
None,one,202000
None,one,202100
None,one,202200
None,one,202300
None,one,202400
None,one,202500
None,one,202600
None,one,202700
None,one,202800
None,one,202900
None,two,203000
None,two,203100
None,two,203200
None,two,203300
None,two,203400
None,two,203500
None,two,203600
None,two,203700
None,two,203800
None,two,203900
None,two,204000
None,one,204100
None,one,204200
None,one,204300
None,one,204400
None,one,204500
None,one,204600
None,one,204700
None,one,204800
None,one,204900
